关键词 非法占有 1113633
关键词 减刑 1053976
关键词 自首 840868
关键词 程序合法 346212
关键词 罚金 333139
关键词 减轻处罚 328579
关键词 从犯 287470
关键词 交通事故 285726
关键词 共同犯罪 283976
关键词 拘役 206640
关键词 故意犯 174137
关键词 管制 158527
关键词 附带民事诉讼 114938
关键词 交通肇事 109811
关键词 犯罪未遂 94026
关键词 没收 85846
关键词 鉴定 74320
关键词 主要责任 74252
关键词 偶犯 72616
关键词 财产权 71994
关键词 违法所得 68176
关键词 人身权利 67809
关键词 误工费 56117
关键词 人身损害赔偿 53422
关键词 立功 53270
关键词 自诉人 47503
关键词 财产刑 44956
关键词 扣押 36703
关键词 返还 33984
关键词 合法财产 32734
关键词 交付 32365
关键词 聚众 30728
关键词 伪造 30201
关键词 胁迫 26687
关键词 寻衅滋事 26025
关键词 传唤 25888
关键词 恶意透支 24369
关键词 共同故意 23529
关键词 所有权 23482
关键词 赔偿责任 23030
关键词 聚众斗殴 20785
关键词 过失犯 17184
关键词 过失 17164
关键词 驳回 17094
关键词 非法经营 16947
关键词 合同 16685
关键词 票据 16538
关键词 利用职务之便 15700
关键词 股份有限公司 15640
关键词 未成年人 15405
关键词 注册商标 14967
关键词 合伙 14512
关键词 假药 14310
关键词 强制措施 13926
关键词 残疾赔偿金 13541
关键词 交通事故损害赔偿 13251
关键词 冒用 13226
关键词 赔偿金 13129
关键词 专卖 12766
关键词 没收财产 12098
关键词 假冒 11729
关键词 代理 11400
关键词 精神损害 10852
关键词 着手 10561
关键词 利息 10251
关键词 传销 9962
关键词 分公司 9879
关键词 投资 9795
关键词 挪用公款 9674
关键词 增值税 9661
关键词 和解协议 9365
关键词 羁押 9320
关键词 剥夺政治权利 9181
关键词 赔偿协议 8823
关键词 合同诈骗 8807
关键词 非法所得 8670
关键词 行政拘留 8423
关键词 正当防卫 8391
关键词 赔偿数额 8380
关键词 赔偿损失 8360
关键词 财产保险 8332
关键词 违法行为 8276
关键词 贷款 8195
关键词 给付 8023
关键词 公共秩序 7777
关键词 和解 7737
关键词 追诉 7658
关键词 违背妇女意志 7595
关键词 变更 7564
关键词 单位犯罪 6923
关键词 婚姻 6893
关键词 聋哑人 6850
关键词 担保 6510
关键词 犯罪中止 6506
关键词 超载 6379
关键词 劳动报酬 6319
关键词 防卫过当 6285
关键词 租赁 6165
关键词 承诺 5945
关键词 处分 5881
